nome,cognome,affiliazione,fontsize,
Marco,Abate,Università di Pisa,,
Giovanni,Alberti,Università di Pisa,,
Chiara,Alessi,Università di Ferrara,,
Roberto,Alicandro,Università degli studi di Cassino,,
Luigi,Ambrosio,SNS Pisa,,
Pasquale,Ambrosio,Università di Napoli Federico II,,
Joao Henrique,Andrade,University of British Columbia,,
Pêdra,Andrade,IST Universidade de Lisboa,,
Giovanna,Andreucci,Università di Roma la Sapienza,,
Gioacchino,Antonelli,Courant Institute NYU,,
Carlo Alberto,Antonini,Università di Milano,,
Sami,Aouaoui,University of Kairouan -- Tunisia,,
Adolfo,Arroyo Rabasa,UCLouvain,,
Alireza,Ataei,Uppsala University,,
Mojtaba,Bakherad,University of Sistan and Baluchestan -- Zahedan,,
Giovanni,Bellettini,Università di Siena,,
Luca,Benatti,Università di Pisa,,
Mohamed Badr,Benboubker,EST Fès,1,
Tommaso,Bertin,Università di Padova,,
Konstantinos,Bessas,Università di Pavia,,
Francesca,Bianchi,Università di Ferrara,,
Reshmi,Biswas,Masaryk University,,
Francesca,Bonadei,SPRINGER,,
Mauro,Bonafini,Università di Verona,,
Paolo,Bonicatto,University of Warwick,,
Francesco,Bozzola,Università di Ferrara,,
Andrea,Braides,Università di Roma Tor Vergata,,
Camillo,Brena,SNS Pisa,,
Yann,Brenier,ENS Paris,,
Camilla,Brizzi,TUM München,,
Stefano,Buccheri,UCLouvain,,
Federico,Buseghin,University of Bath,,
Giuseppe,Buttazzo,Università di Pisa,,
Xavier,Cabré,ICREA and Universitat Politècnica de Catalunya,,
Piermarco,Cannarsa,Università di Roma Tor Vergata,,
Simone,Carano,SISSA Trieste,,
Davide,Carazzato,SNS Pisa,,
Alessandro,Carbotti,Università del Salento,,
Michele,Caselli,SNS Pisa,,
Giulia,Cavagnari,Politecnico di Milano,,
Cristian,Cazacu,University of Bucharest \& ISMMA -- Romania,,
Annalisa,Cesaroni,Università di Padova,,
Alan,Chang,Princeton University,,
Valeria,Chiado' Piat,Politecnico di Torino,,
Giulio,Ciraolo,Università di Milano,,
Francesco,Colasanto,Università di Firenze,,
Giovanni Eugenio,Comi,Università di Bologna,,
Sergio,Conti,Universität Bonn,,
Alberto,Corella,FAU Erlangen-Nürnberg,,
Francesca,Corni,Università di Bologna,,
Tommaso,Cortopassi,SNS Pisa,,
Gianni,Dal Maso,SISSA Trieste,,
Virginia,De Cicco,Università di Roma la Sapienza,,
Paolo,De Donato,Università di Roma la Sapienza,,
Camillo,De Lellis,IAS Princeton,,
Nicola,De Nitti,FAU Erlangen-Nürnberg,,
Luigi,De Pascale,Università di Firenze,,
Guido,De Philippis,New York University,,
Giacomo,Del Nin,MPI Leipzig,,
Lorenzo,Dello Schiavo,Institute of Science and Technology Austria,,
Marco,Di Marco,Università di Padova,,
Simone,Di Marino,Università di Genova,,
Antonia,Diana,Scuola Superiore Meridionale,,
Maria,Farcaseanu,ISMMA Romanian Academy,,
Alessio,Figalli,ETH Zürich,,
Marco,Flaim,Universität Bonn,,
Matteo,Focardi,Università di Firenze,,
Irene,Fonseca,CMU Pittsburgh,,
Luigi ,Forcella,Università di Pisa,,
Massimo,Fornasier,TUM München,,
Martino,Fortuna,Università di Roma la Sapienza,,
Allan,Freitas,Universidade Federal da Paraíba,,
Nicola,Fusco,Università di Napoli Federico II,,
Chiara,Gambicchia,Università di Pisa,,
Adriana,Garroni,Università di Roma la Sapienza,,
Maria Stella,Gelli,Università di Pisa,,
Luca,Gennaioli,SISSA Trieste,,
Marina,Ghisi,Università di Pisa,,
Nicola,Gigli,SISSA Trieste,,
Rossella,Giorgio,TU Wien,,
Federico,Glaudo,Institute for Advanced Study,,
Massimo,Gobbino,Università di Pisa,,
Serena,Guarino Lo Bianco,Università di Modena e Reggio Emilia,1,
Mustafa Alper,Gunes,Princeton University,,
Hatem,Hajlaoui,University of Kairouan -- Tunisia,,
Bangxian,Han,University of Science and Technology of China,,
Anderson,Hernandez,Politecnico di Torino,,
Shouhei,Honda,Tohoku University,,
Kennedy,Idu,University of Toronto,,
Nicolai,Jork,TU Wien,,
Shokhrukh,Kholmatov,University of Vienna,,
Andrea,Kubin,TUM München,,
Anna,Kubin,Politecnico di Torino,,
Giuseppe,La Scala,Scuola Superiore Meridionale,,
Antonio,Leaci,Università del Salento,,
Lorenzo,Liverani,Università degli Studi di Milano-Bicocca,,
Luca,Lussardi,Politecnico di Torino,,
Valentino,Magnani,Università di Pisa,,
Edoardo,Mainini,Università di Genova,,
Alberto,Maione,University of Freiburg,,
Hugo,Malamut,Inria (Mokaplan) et Université Dauphine PSL,,
Carlo,Mantegazza,Università di Napoli Federico II,,
Uriel,Martínez León,Universidad Nacional Autónoma de México,,
Simon,Masnou,UCBL Lyon,,
Annalisa,Massaccesi,Università di Padova,,
Cristian,Mendico,Università di Roma Tor Vergata,,
Samuel,Mercer,TU Delft,,
Enzo Maria,Merlino,Università di Bologna,,
Alexis,Michelat,EPFL Lausanne,,
Mihai,Mihailescu,University of Craiova \& ISMMA,,
Emmanouil,Milakis,University of Cyprus,,
Jiri,Minarcik,Czech Technical University in Prague,,
Andrea,Mondino,University of Oxford,,
HICHAM,MOUSSA,Sultan Moulay Slimane university Morocco,,
Cyrill,Muratov,Università di Pisa,,
Thai Ha,Nguyen,CityU Hong Kong,,
Michael,Novack,University of Texas at Austin,,
Matteo,Novaga,Università di Pisa,,
Roberto,Ognibene,Università di Pisa,,
Fumihiko,Onoue,TUM München,,
Giandomenico,Orlandi,Università di Verona,,
Francesca,Oronzio,Università di Roma la Sapienza,,
Filippo,Paiano,Università di Pisa,,
Diego,Pallara,Università del Salento,,
Emanuele,Paolini,Università di Pisa,,
Giulio,Pascale,Università di Napoli Federico II,,
Giulio,Pecorella,Università di Modena e Reggio Emilia,,
Nicola,Picenni,SNS Pisa,,
Alessandro,Pigati,Università Bocconi -- Milano,,
Giovanni,Pisante,Università della Campania Luigi Vanvitelli,,
Andrea,Pitrone,SNS Pisa,,
Alessandra,Pluda,Università di Pisa,,
Sergio,Polidoro,Università di Modena e Reggio Emilia,,
Lorenzo,Portinale,Hausdorff Center Bonn,,
Marco,Pozzetta,Università di Napoli Federico II,,
Adriano,Prade,Université Paris Dauphine -- Università di Padova,,
Aldo,Pratelli,Università di Pisa,,
Francesca,Prinari,Università di Pisa,,
Filippo,Quattrocchi,Institute of Science and Technology Austria,,
Hajar,Sabiki,Sultan Moulay Slimane university Morocco,,
Makson,Santos,IST Lisboa,,
Francesco,Sapio,University of Vienna,,
Giuseppe,Savaré,Università Bocconi -- Milano,,
Luciano,Sciaraffia,Università di Pisa,,
Francesco,Serra Cassano,Università di Trento,1,
Tomasz,Socha,Warsaw Technical University,,
Giacomo Enrico,Sodini,University of Vienna,,
Francesco,Solombrino,Università di Napoli Federico II,,
Massimo,Sorella,EPFL Lausanne,,
Denisa,Stancu-Dumitru,U. Politehnica \& ICUB Bucharest,,
Giorgio,Stefani,SISSA Trieste,,
Eugene,Stepanov,Steklov Institute St. Petersburg,,
Bianca,Stroffolini,Università di Napoli Federico II,,
Maxime,Sylvestre,Inria Paris- Mokaplan,,
Matteo,Talluri,Università di Pisa,,
Luca,Tamanini,Università Bocconi -- Milano,,
Antonio,Tarsia,Università di Pisa,,
David,Tewodrose,Nantes Université,,
Niyaz,Tokmagambetov,Institute of Mathematics and Mathematical Modeling -- Almaty,,
Berikbol,Torebek,Institute of Mathematics and Mathematical Modeling -- Almaty,,
Damià,Torres-Latorre,Universitat de Barcelona,,
Vincenzo,Tortorelli,Università di Pisa,,
Dario,Trevisan,Università di Pisa,,
Tin Yau,Tsang,UC Irvine,,
Anton,Ullrich,MPI MiS Lepizig,,
Paolo,Valentini,Università dell'Aquila,,
Nicolas,Van Goethem,Universidade de Lisboa,,
Benoît,Van Vaerenbergh,UCLouvain,,
Alessandro,Violini,Università di Padova,,
Davide,Vittone,Università di Padova,,
Dmitry,Vorotnikov,Universidade de Coimbra,,
Liangjun,Weng,Università di Roma Tor Vergata,,
Anna Chiara,Zagati,Università di Ferrara,,
Xingyu,Zhu,Universität Bonn,,
